3_Avg-Duration_s,3_Min-Duration_s,3_Max-Duration_s,3_Median-Duration_s,3_MainRank-Duration_s
0.005364355,0.005364355,0.005364355,0.005364355,0.005364355
0.005438471,0.005438471,0.005438471,0.005438471,0.005438471
0.005322452,0.005322452,0.005322452,0.005322452,0.005322452
0.005238277,0.005238277,0.005238277,0.005238277,0.005238277
0.005237965,0.005237965,0.005237965,0.005237965,0.005237965
0.005297521,0.005297521,0.005297521,0.005297521,0.005297521
0.005249215,0.005249215,0.005249215,0.005249215,0.005249215
0.005293498,0.005293498,0.005293498,0.005293498,0.005293498
0.005287793,0.005287793,0.005287793,0.005287793,0.005287793
0.005273428,0.005273428,0.005273428,0.005273428,0.005273428
0.005285073,0.005285073,0.005285073,0.005285073,0.005285073
0.005292607,0.005292607,0.005292607,0.005292607,0.005292607
0.005281148,0.005281148,0.005281148,0.005281148,0.005281148
0.00527793,0.00527793,0.00527793,0.00527793,0.00527793
0.005291809,0.005291809,0.005291809,0.005291809,0.005291809
0.005280868,0.005280868,0.005280868,0.005280868,0.005280868
0.005304683,0.005304683,0.005304683,0.005304683,0.005304683
0.005305122,0.005305122,0.005305122,0.005305122,0.005305122
0.005276918,0.005276918,0.005276918,0.005276918,0.005276918
0.005327573,0.005327573,0.005327573,0.005327573,0.005327573
0.005295893,0.005295893,0.005295893,0.005295893,0.005295893
0.005295847,0.005295847,0.005295847,0.005295847,0.005295847
0.005293915,0.005293915,0.005293915,0.005293915,0.005293915
0.005299036,0.005299036,0.005299036,0.005299036,0.005299036
0.005304826,0.005304826,0.005304826,0.005304826,0.005304826
0.005313689,0.005313689,0.005313689,0.005313689,0.005313689
0.005295238,0.005295238,0.005295238,0.005295238,0.005295238
0.005293536,0.005293536,0.005293536,0.005293536,0.005293536
0.005280942,0.005280942,0.005280942,0.005280942,0.005280942
0.005276688,0.005276688,0.005276688,0.005276688,0.005276688
0.005219446,0.005219446,0.005219446,0.005219446,0.005219446
0.005468471,0.005468471,0.005468471,0.005468471,0.005468471
0.005381014,0.005381014,0.005381014,0.005381014,0.005381014
0.005293149,0.005293149,0.005293149,0.005293149,0.005293149
0.005274444,0.005274444,0.005274444,0.005274444,0.005274444
0.00525691,0.00525691,0.00525691,0.00525691,0.00525691
0.005352527,0.005352527,0.005352527,0.005352527,0.005352527
0.005427905,0.005427905,0.005427905,0.005427905,0.005427905
0.005138168,0.005138168,0.005138168,0.005138168,0.005138168
0.004949498,0.004949498,0.004949498,0.004949498,0.004949498
0.005418497,0.005418497,0.005418497,0.005418497,0.005418497
0.005336631,0.005336631,0.005336631,0.005336631,0.005336631
0.005262217,0.005262217,0.005262217,0.005262217,0.005262217
0.005272448,0.005272448,0.005272448,0.005272448,0.005272448
0.005296505,0.005296505,0.005296505,0.005296505,0.005296505
0.005285176,0.005285176,0.005285176,0.005285176,0.005285176
0.005308446,0.005308446,0.005308446,0.005308446,0.005308446
0.0053162,0.0053162,0.0053162,0.0053162,0.0053162
0.005300652,0.005300652,0.005300652,0.005300652,0.005300652
0.005273331,0.005273331,0.005273331,0.005273331,0.005273331
0.005296755,0.005296755,0.005296755,0.005296755,0.005296755
0.005288929,0.005288929,0.005288929,0.005288929,0.005288929
0.005281186,0.005281186,0.005281186,0.005281186,0.005281186
0.005319916,0.005319916,0.005319916,0.005319916,0.005319916
0.005304768,0.005304768,0.005304768,0.005304768,0.005304768
0.005316254,0.005316254,0.005316254,0.005316254,0.005316254
0.005273143,0.005273143,0.005273143,0.005273143,0.005273143
