run_id,0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
1,0.001401279,0.001389173,0.001413078,0.001401485,0.001389173
1,6.2111e-05,5.9425e-05,6.526e-05,6.2192e-05,6.0636e-05
1,5.9904e-05,5.5798e-05,6.3845e-05,6.032e-05,6.0908e-05
1,6.273e-05,5.681e-05,7.1336e-05,6.1193e-05,5.7823e-05
1,7.8204e-05,7.5612e-05,8.1e-05,7.7978e-05,7.8788e-05
1,0.000150381,0.000149524,0.000151375,0.000150423,0.000150715
1,0.000108794,9.3989e-05,0.000120936,0.000109406,0.000104211
1,0.00010153,9.2975e-05,0.000112343,0.000100122,9.9835e-05
1,0.000105495,0.000100978,0.000109609,0.000105477,0.000109609
1,9.7624e-05,9.5869e-05,0.000100501,9.6996e-05,9.5869e-05
1,8.0297e-05,7.6538e-05,8.5401e-05,8.0059e-05,7.6538e-05
1,5.1536e-05,4.8111e-05,5.6866e-05,5.105e-05,4.8917e-05
1,4.7705e-05,4.5932e-05,4.9355e-05,4.7771e-05,4.6435e-05
1,4.2028e-05,4.0546e-05,4.397e-05,4.1949e-05,4.0837e-05
1,4.2757e-05,4.141e-05,4.4199e-05,4.2979e-05,4.4199e-05
1,4.4643e-05,4.3808e-05,4.5354e-05,4.4496e-05,4.3808e-05
1,6.4719e-05,5.6473e-05,7.6788e-05,6.38e-05,5.6528e-05
1,6.1353e-05,5.1559e-05,7.2565e-05,5.9439e-05,5.3591e-05
1,6.1205e-05,4.9881e-05,7.8432e-05,6.0508e-05,4.9881e-05
1,5.3468e-05,5.0186e-05,6.2168e-05,5.2975e-05,5.0479e-05
1,4.3677e-05,4.135e-05,4.5352e-05,4.3764e-05,4.135e-05
1,4.4083e-05,4.241e-05,4.6316e-05,4.4271e-05,4.6316e-05
1,4.1639e-05,4.0279e-05,4.293e-05,4.197e-05,4.2008e-05
1,4.3033e-05,4.2373e-05,4.3552e-05,4.3108e-05,4.3552e-05
1,4.4727e-05,4.1486e-05,4.7888e-05,4.4837e-05,4.6546e-05
1,4.3634e-05,4.1962e-05,4.5799e-05,4.3414e-05,4.363e-05
1,4.2237e-05,4.129e-05,4.3096e-05,4.237e-05,4.3096e-05
1,4.2669e-05,4.2144e-05,4.4081e-05,4.244e-05,4.2459e-05
1,4.7742e-05,4.6327e-05,4.9001e-05,4.8103e-05,4.6711e-05
1,4.2199e-05,4.0222e-05,4.3871e-05,4.1955e-05,4.1592e-05
1,4.4328e-05,4.3091e-05,4.6497e-05,4.3821e-05,4.3803e-05
1,4.1608e-05,3.9621e-05,4.3085e-05,4.1932e-05,4.2329e-05
1,4.2384e-05,4.1077e-05,4.3574e-05,4.217e-05,4.2223e-05
1,4.2104e-05,4.1296e-05,4.288e-05,4.2157e-05,4.1333e-05
1,4.1649e-05,4.0718e-05,4.2237e-05,4.1622e-05,4.1514e-05
1,4.3125e-05,4.1114e-05,4.5346e-05,4.2608e-05,4.1114e-05
1,5.4108e-05,4.9502e-05,5.9402e-05,5.3003e-05,5.2672e-05
1,6.5493e-05,5.5495e-05,7.8844e-05,6.5151e-05,5.6958e-05
1,6.5308e-05,5.2944e-05,8.141e-05,6.5229e-05,5.5763e-05
1,6.67e-05,5.901e-05,7.5878e-05,6.7553e-05,5.9329e-05
1,7.71e-05,7.0479e-05,9.0738e-05,7.4148e-05,7.0479e-05
1,6.0642e-05,5.4527e-05,7.0429e-05,5.8678e-05,5.4637e-05
1,5.6848e-05,4.7793e-05,6.4613e-05,5.7165e-05,5.016e-05
1,4.1992e-05,4.0033e-05,4.4211e-05,4.1789e-05,4.1575e-05
1,4.267e-05,4.2042e-05,4.4524e-05,4.2335e-05,4.3418e-05
1,4.3484e-05,4.1646e-05,4.4712e-05,4.3841e-05,4.3447e-05
1,4.2555e-05,4.1218e-05,4.3465e-05,4.2639e-05,4.1218e-05
1,4.1818e-05,4.0287e-05,4.3842e-05,4.1664e-05,4.1567e-05
1,4.2979e-05,4.2266e-05,4.4252e-05,4.2884e-05,4.2562e-05
1,4.2251e-05,4.1213e-05,4.2916e-05,4.2536e-05,4.1213e-05
1,4.1704e-05,4.0574e-05,4.2423e-05,4.1721e-05,4.2423e-05
1,4.1129e-05,3.9951e-05,4.2124e-05,4.1188e-05,4.2124e-05
1,4.1249e-05,4.0342e-05,4.2025e-05,4.1299e-05,4.2025e-05
1,4.1804e-05,4.1064e-05,4.2744e-05,4.1722e-05,4.1466e-05
1,4.2239e-05,4.1029e-05,4.3002e-05,4.2304e-05,4.1029e-05
1,4.9808e-05,4.9013e-05,5.1216e-05,4.9454e-05,4.9013e-05
1,4.2292e-05,4.0877e-05,4.3478e-05,4.2367e-05,4.3478e-05
1,4.2647e-05,4.2076e-05,4.3097e-05,4.268e-05,4.2677e-05
1,4.226e-05,4.1286e-05,4.3006e-05,4.232e-05,4.1834e-05
1,4.1513e-05,4.019e-05,4.2919e-05,4.1565e-05,4.2919e-05
1,4.1794e-05,4.0961e-05,4.3434e-05,4.1609e-05,4.1579e-05
1,4.4244e-05,4.2823e-05,4.4715e-05,4.4453e-05,4.4481e-05
1,4.1931e-05,4.0995e-05,4.2695e-05,4.1911e-05,4.2458e-05
1,4.1713e-05,4.1038e-05,4.2565e-05,4.1698e-05,4.2225e-05
1,4.2146e-05,4.0615e-05,4.3678e-05,4.214e-05,4.0615e-05
1,4.2744e-05,4.2203e-05,4.3493e-05,4.26e-05,4.2886e-05
1,4.2119e-05,4.1605e-05,4.3244e-05,4.1964e-05,4.1692e-05
1,4.2291e-05,4.1639e-05,4.3012e-05,4.2293e-05,4.1954e-05
1,4.2196e-05,4.1312e-05,4.2754e-05,4.2472e-05,4.2409e-05
1,4.1662e-05,4.1046e-05,4.2935e-05,4.1406e-05,4.1451e-05
1,5.3876e-05,5.2374e-05,5.4926e-05,5.4456e-05,5.2374e-05
1,4.2118e-05,4.1477e-05,4.3691e-05,4.1906e-05,4.2096e-05
1,4.1848e-05,4.0408e-05,4.3626e-05,4.1714e-05,4.2396e-05
1,4.1936e-05,4.0796e-05,4.3273e-05,4.1843e-05,4.3216e-05
1,4.5487e-05,4.3269e-05,4.9126e-05,4.4033e-05,4.3707e-05
1,4.3043e-05,4.1148e-05,4.5203e-05,4.288e-05,4.1148e-05
1,4.2336e-05,4.1179e-05,4.3245e-05,4.234e-05,4.1179e-05
1,4.2254e-05,4.13e-05,4.3997e-05,4.193e-05,4.2426e-05
1,4.1351e-05,4.0015e-05,4.2099e-05,4.1562e-05,4.0015e-05
1,4.2719e-05,4.1681e-05,4.3847e-05,4.2629e-05,4.2354e-05
1,4.2362e-05,4.1503e-05,4.3472e-05,4.2164e-05,4.1781e-05
1,4.2963e-05,4.1532e-05,4.4139e-05,4.3072e-05,4.3033e-05
1,4.2501e-05,4.1328e-05,4.3479e-05,4.2615e-05,4.2696e-05
1,4.1013e-05,4.0123e-05,4.2137e-05,4.0971e-05,4.1357e-05
1,4.6782e-05,4.3994e-05,5.1575e-05,4.6101e-05,4.55e-05
1,4.3807e-05,4.2205e-05,4.5716e-05,4.3456e-05,4.2708e-05
1,4.2503e-05,4.1471e-05,4.3209e-05,4.269e-05,4.3204e-05
1,4.1654e-05,4.0809e-05,4.2929e-05,4.136e-05,4.1048e-05
1,4.27e-05,4.0406e-05,4.5973e-05,4.2656e-05,4.2551e-05
1,4.2308e-05,4.0768e-05,4.3583e-05,4.2451e-05,4.2291e-05
1,4.239e-05,4.1155e-05,4.3214e-05,4.24e-05,4.2345e-05
1,4.177e-05,4.0845e-05,4.2535e-05,4.177e-05,4.1413e-05
1,4.1972e-05,4.069e-05,4.332e-05,4.1857e-05,4.2197e-05
1,4.1098e-05,4.0148e-05,4.2378e-05,4.1015e-05,4.1123e-05
1,4.2442e-05,4.1598e-05,4.3479e-05,4.2368e-05,4.2504e-05
1,4.1785e-05,4.0859e-05,4.2789e-05,4.1879e-05,4.1533e-05
1,4.727e-05,4.537e-05,4.9725e-05,4.6513e-05,4.6689e-05
1,4.254e-05,4.0163e-05,4.3578e-05,4.2921e-05,4.3014e-05
1,4.4704e-05,4.415e-05,4.5672e-05,4.4545e-05,4.4306e-05
1,4.6088e-05,3.8989e-05,4.8462e-05,4.6792e-05,4.7255e-05
2,0.000440231,0.000426758,0.000454855,0.000439605,0.000426758
2,5.7974e-05,5.6267e-05,5.9628e-05,5.7582e-05,5.9628e-05
2,5.8414e-05,5.6314e-05,6.1014e-05,5.7938e-05,5.6314e-05
2,5.5677e-05,5.3546e-05,5.831e-05,5.5477e-05,5.4311e-05
2,7.6054e-05,7.3614e-05,7.8058e-05,7.6181e-05,7.3614e-05
2,0.00014686,0.000145681,0.000148356,0.000146865,0.000145681
2,9.4352e-05,9.2587e-05,9.629e-05,9.4462e-05,9.629e-05
2,9.341e-05,9.1382e-05,9.4674e-05,9.3881e-05,9.4369e-05
2,9.3631e-05,9.2175e-05,9.4965e-05,9.3796e-05,9.4265e-05
2,0.000115367,0.000113303,0.000116986,0.000115313,0.000116131
2,7.581e-05,7.2468e-05,7.9245e-05,7.5802e-05,7.4821e-05
2,4.595e-05,4.368e-05,4.9793e-05,4.5281e-05,4.4471e-05
2,4.4639e-05,4.2152e-05,4.6833e-05,4.4707e-05,4.2892e-05
2,4.3891e-05,4.2202e-05,4.6631e-05,4.3674e-05,4.2618e-05
2,8.2489e-05,6.5591e-05,9.8467e-05,8.3665e-05,6.6418e-05
2,8.9309e-05,7.0907e-05,0.000112701,8.8049e-05,7.7821e-05
2,7.7424e-05,6.3357e-05,0.000100729,7.5151e-05,6.4383e-05
