0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
0.102145795,0.100799815,0.103490803,0.102146281,0.100799815
0.068707316,0.068703735,0.068711905,0.068706811,0.068703735
0.069853675,0.069852178,0.069855881,0.06985332,0.069853701
0.067631453,0.067629586,0.067632372,0.067631927,0.067632372
0.070002428,0.070000892,0.070003696,0.070002562,0.070000892
0.153333149,0.150018996,0.154441629,0.154435985,0.15444114
0.070702977,0.070693106,0.070708682,0.07070506,0.070693106
0.073178466,0.073174293,0.07318086,0.073179355,0.073178084
0.07162369,0.071619026,0.071626382,0.071624677,0.071623118
0.074639704,0.074635402,0.074643005,0.074640205,0.0746376
0.071602525,0.071601024,0.071605026,0.071602024,0.07160209
0.073445253,0.073444079,0.073446168,0.073445383,0.0734457
0.072818639,0.072582999,0.073055638,0.072817959,0.072582999
0.071861746,0.071861397,0.071862221,0.071861682,0.071861761
0.070201329,0.070153935,0.070248516,0.070201432,0.070156164
0.070220366,0.070219458,0.070222381,0.070219812,0.070222381
0.06804514,0.068043669,0.068048337,0.068044277,0.068044632
0.069938619,0.069936643,0.069939475,0.069939179,0.069939281
0.067758285,0.067755652,0.067760068,0.06775871,0.067760068
0.069854534,0.069853024,0.069856035,0.069854539,0.069854417
0.067884014,0.067882825,0.06788627,0.06788348,0.06788404
0.069697038,0.069696167,0.069697901,0.069697043,0.069697827
0.068247281,0.068194653,0.068300493,0.068246989,0.068195397
0.069762247,0.069760682,0.069764592,0.069761856,0.06976099
0.068758853,0.068755752,0.068763242,0.068758209,0.068759054
0.072067513,0.072065474,0.072069936,0.07206732,0.072067678
0.067849032,0.067845552,0.067854057,0.067848258,0.067849207
0.069495324,0.06949358,0.069498159,0.069494779,0.069494612
0.068861654,0.068860916,0.068862834,0.068861433,0.068861383
0.068697834,0.068695615,0.068700497,0.068697611,0.068695615
0.070576204,0.070575,0.070577671,0.070576072,0.070576189
0.069018768,0.069017839,0.069020256,0.069018489,0.069018157
0.069475322,0.069474732,0.069476162,0.069475197,0.069475576
0.068001284,0.068000073,0.068003454,0.068000805,0.068000073
0.069984139,0.06998303,0.069985937,0.069983795,0.069983699
0.06928923,0.069287691,0.06929124,0.069288994,0.069288694
0.070989688,0.070986354,0.070994227,0.070989085,0.070988569
0.068131567,0.068129159,0.068133039,0.068132035,0.068132293
0.068793476,0.068791688,0.068796575,0.068792821,0.068791696
0.069142042,0.069139973,0.069144726,0.069141735,0.069139973
0.067865888,0.067863706,0.067867861,0.067865993,0.06786753
0.069607308,0.069597243,0.069617815,0.069607087,0.069614194
0.067224615,0.067223665,0.067226704,0.067224046,0.067224243
0.069693983,0.069690906,0.069696449,0.069694288,0.069696449
0.069293036,0.069291518,0.069294765,0.06929293,0.069294765
0.068148653,0.068147401,0.068150834,0.068148189,0.068148314
0.07168174,0.07167627,0.071688962,0.071680863,0.071676524
0.07219066,0.072188403,0.072193083,0.072190577,0.072193083
0.074260603,0.074257662,0.074262143,0.074261303,0.074262143
0.073662537,0.07366115,0.073664761,0.073662119,0.073662395
0.072206238,0.072204752,0.072207632,0.072206284,0.072204752
0.073525936,0.07352496,0.073527467,0.073525659,0.073525694
0.071572224,0.071570829,0.071575833,0.071571116,0.071570829
0.072709166,0.072707128,0.072712021,0.072708756,0.072707428
0.069699412,0.069698073,0.069700619,0.069699478,0.069699737
0.067533275,0.067529962,0.067535842,0.067533648,0.067535842
0.069138698,0.06913047,0.069147661,0.06913833,0.069132127
0.071787905,0.071787292,0.071789635,0.071787346,0.071787382
0.068348201,0.068345259,0.068350234,0.068348655,0.068350234
0.071384382,0.071382576,0.071388302,0.071383325,0.071382904
0.072850239,0.072845124,0.072856664,0.072849584,0.072853917
