run_id,0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
1,0.000436916,0.000426421,0.00044692,0.000437359,0.000426421
1,5.8267e-05,5.7031e-05,6.0103e-05,5.8322e-05,5.7031e-05
1,5.6173e-05,5.4576e-05,5.797e-05,5.6554e-05,5.4576e-05
1,5.8171e-05,5.5912e-05,5.9586e-05,5.8491e-05,5.7278e-05
1,7.7928e-05,7.6525e-05,7.9435e-05,7.7945e-05,7.8331e-05
1,0.000148009,0.000146763,0.000148623,0.000148314,0.000148475
1,9.2711e-05,9.1263e-05,9.376e-05,9.3094e-05,9.3543e-05
1,9.2962e-05,9.1765e-05,9.4522e-05,9.2659e-05,9.3819e-05
1,9.1927e-05,9.0043e-05,9.3553e-05,9.2134e-05,9.1387e-05
1,0.000127988,0.000121964,0.00013044,0.000128902,0.000128634
1,9.2391e-05,8.7986e-05,9.9786e-05,9.1723e-05,9.2456e-05
1,8.4913e-05,7.1722e-05,9.2885e-05,8.6383e-05,7.8853e-05
1,6.8377e-05,5.808e-05,8.1042e-05,6.8568e-05,5.8907e-05
1,7.0441e-05,6.3939e-05,8.452e-05,6.8489e-05,6.4336e-05
1,6.1355e-05,5.3151e-05,8.2743e-05,5.8705e-05,5.4014e-05
1,6.7328e-05,5.7579e-05,7.9067e-05,6.7632e-05,5.8573e-05
1,7.5474e-05,7.0232e-05,8.1268e-05,7.5729e-05,7.119e-05
1,6.5788e-05,5.7274e-05,7.5691e-05,6.5753e-05,5.8009e-05
1,7.1101e-05,5.9476e-05,8.4963e-05,7.1701e-05,6.1966e-05
1,7.6363e-05,6.8436e-05,8.9404e-05,7.5358e-05,6.956e-05
1,7.0474e-05,6.3056e-05,8.4327e-05,6.9948e-05,6.4039e-05
1,7.2351e-05,6.2041e-05,9.0555e-05,7.1878e-05,6.2578e-05
1,6.4099e-05,5.9399e-05,7.2497e-05,6.4057e-05,6.0089e-05
1,7.2637e-05,6.0753e-05,8.3823e-05,7.2252e-05,6.5646e-05
1,6.1644e-05,5.1759e-05,7.1571e-05,6.2213e-05,5.179e-05
1,6.7817e-05,6.1656e-05,7.5732e-05,6.7687e-05,6.4915e-05
1,7.9178e-05,6.9903e-05,8.8138e-05,7.9608e-05,7.0876e-05
1,6.759e-05,5.7245e-05,7.7974e-05,6.7263e-05,5.917e-05
1,7.366e-05,6.0983e-05,8.5838e-05,7.4162e-05,6.3828e-05
1,6.0391e-05,5.1566e-05,7.0205e-05,6.0712e-05,5.1566e-05
1,7.191e-05,5.9475e-05,8.8704e-05,7.142e-05,5.9475e-05
1,6.7685e-05,5.74e-05,8.5758e-05,6.6347e-05,5.7773e-05
1,6.1277e-05,5.2604e-05,7.0782e-05,6.1796e-05,5.2752e-05
1,6.8047e-05,5.9143e-05,8.412e-05,6.7491e-05,5.9969e-05
1,6.6886e-05,5.8072e-05,7.6404e-05,6.7587e-05,5.9153e-05
1,6.8248e-05,6.2704e-05,7.725e-05,6.7673e-05,6.4963e-05
1,6.3983e-05,5.6919e-05,7.9066e-05,6.32e-05,5.7709e-05
1,7.0221e-05,6.0606e-05,8.2168e-05,7.0255e-05,6.1914e-05
1,6.6967e-05,5.9776e-05,7.8546e-05,6.5765e-05,5.9776e-05
1,5.6879e-05,5.0125e-05,6.5088e-05,5.6465e-05,5.0125e-05
1,6.9725e-05,5.6641e-05,8.6401e-05,6.8889e-05,5.8343e-05
1,7.1397e-05,6.1654e-05,8.3158e-05,7.152e-05,6.2432e-05
1,6.0463e-05,5.5027e-05,6.6385e-05,6.0865e-05,5.5828e-05
1,4.5189e-05,4.2696e-05,4.8292e-05,4.4525e-05,4.2696e-05
1,4.7714e-05,4.4405e-05,5.0794e-05,4.7986e-05,4.4405e-05
1,4.4678e-05,4.1968e-05,4.8767e-05,4.4191e-05,4.1968e-05
1,4.712e-05,4.3997e-05,5.2911e-05,4.6719e-05,4.3997e-05
1,4.2781e-05,4.1253e-05,4.4283e-05,4.2668e-05,4.1253e-05
