run_id,0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
1,9.619e-06,6.325e-06,1.2651e-05,9.709e-06,9.55e-06
1,2.7567e-05,1.5372e-05,5.4283e-05,1.9841e-05,1.9825e-05
1,2.0997e-05,4.939e-06,2.694e-05,2.5808e-05,2.5808e-05
1,1.033e-05,6.998e-06,1.4376e-05,1.0578e-05,1.0887e-05
1,9.56e-06,6.276e-06,1.3319e-05,9.528e-06,9.755e-06
1,9.586e-06,6.361e-06,1.2979e-05,9.534e-06,8.642e-06
1,9.732e-06,7.448e-06,1.2509e-05,9.661e-06,8.933e-06
1,1.6216e-05,8.64e-06,3.748e-05,9.675e-06,9.094e-06
1,9.441e-06,4.586e-06,1.4203e-05,9.308e-06,9.339e-06
1,9.333e-06,5.772e-06,1.3572e-05,9.403e-06,9.093e-06
1,1.0166e-05,6.388e-06,1.369e-05,1.0267e-05,7.928e-06
1,9.421e-06,6.447e-06,1.2413e-05,9.057e-06,8.849e-06
1,9.593e-06,6.715e-06,1.2125e-05,9.546e-06,9.405e-06
1,9.287e-06,7.184e-06,1.1582e-05,9.257e-06,8.737e-06
1,1.0117e-05,7.906e-06,1.2893e-05,1.0152e-05,1.0494e-05
1,9.343e-06,6.395e-06,1.2331e-05,9.449e-06,1.1313e-05
1,9.231e-06,5.992e-06,1.2238e-05,9.217e-06,1.0953e-05
1,9.212e-06,6.567e-06,1.2109e-05,8.86e-06,1.2109e-05
1,9.65e-06,7.437e-06,1.2767e-05,9.327e-06,1.2767e-05
1,9.216e-06,6.961e-06,1.1799e-05,8.951e-06,1.1799e-05
1,1.4116e-05,6.667e-06,5.3688e-05,1.0925e-05,1.2722e-05
1,3.838e-05,2.5339e-05,7.2035e-05,2.6652e-05,2.6682e-05
1,4.6271e-05,6.872e-06,6.1714e-05,5.8167e-05,5.8628e-05
1,2.3959e-05,8.279e-06,3.9175e-05,2.2762e-05,3.9002e-05
1,1.7071e-05,4.662e-06,2.951e-05,1.6348e-05,2.7422e-05
1,9.412e-06,4.712e-06,1.4163e-05,9.457e-06,1.1578e-05
1,9.665e-06,5.549e-06,1.3918e-05,9.696e-06,1.0791e-05
1,9.559e-06,7.433e-06,1.2578e-05,9.954e-06,1.0459e-05
1,2.6022e-05,1.836e-05,7.4587e-05,2.1159e-05,4.784e-05
1,4.369e-05,1.7642e-05,5.6375e-05,4.4129e-05,5.3227e-05
1,4.0783e-05,1.5249e-05,4.6908e-05,4.5833e-05,1.5249e-05
1,2.4112e-05,1.9683e-05,2.5428e-05,2.4217e-05,2.4066e-05
1,9.666e-06,5.024e-06,1.5078e-05,9.509e-06,8.823e-06
1,9.509e-06,6.378e-06,1.3115e-05,9.623e-06,6.495e-06
1,1.0282e-05,6.939e-06,1.421e-05,1.0116e-05,6.939e-06
1,9.377e-06,4.805e-06,1.3282e-05,9.388e-06,1.0784e-05
1,9.34e-06,6.594e-06,1.2939e-05,9.079e-06,9.187e-06
1,9.249e-06,6.622e-06,1.2177e-05,9.323e-06,1.0423e-05
1,9.494e-06,7.028e-06,1.2268e-05,9.188e-06,1.0329e-05
