run_id,0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
1,0.000683021,0.000664981,0.000701108,0.000682998,0.000664981
1,0.000165749,0.000164727,0.000166862,0.000165704,0.000165259
1,0.000152707,0.000151274,0.000154239,0.000152658,0.000152378
1,0.000157718,0.000156018,0.000159258,0.000157799,0.000158027
1,0.00017857,0.00017753,0.00017929,0.00017873,0.00017929
1,0.000788035,0.00077009,0.000794831,0.000793609,0.000794831
1,0.000195915,0.000194173,0.000197324,0.000196082,0.000196281
1,0.000190633,0.000189716,0.000191295,0.000190761,0.000191295
1,0.000180378,0.000178742,0.000181328,0.000180721,0.000181328
1,0.000199531,0.000198459,0.00020054,0.000199563,0.00020054
1,0.000140755,0.000139499,0.000142058,0.000140732,0.000140985
1,0.000128202,0.000125128,0.000129756,0.000128963,0.000129408
1,0.000120435,0.000118527,0.000122247,0.000120483,0.000119917
1,0.000122263,0.000118902,0.000124492,0.000122829,0.000122207
1,0.000121353,0.000118876,0.000123556,0.00012149,0.000120957
1,0.000120282,0.000118197,0.000122235,0.000120349,0.000120105
1,0.000127464,0.000125723,0.000129007,0.000127562,0.000126829
1,0.000122078,0.000121255,0.000123402,0.000121827,0.000122376
1,0.000121923,0.000120248,0.000123969,0.000121737,0.000120248
1,0.000121524,0.000119216,0.000123833,0.000121523,0.000121716
1,0.00012021,0.000118843,0.000121916,0.000120039,0.00012005
1,0.00012139,0.000119038,0.000123508,0.000121507,0.000121534
1,0.00012137,0.000118542,0.000122807,0.000122065,0.000122455
1,0.000120203,0.000118057,0.000121548,0.000120604,0.000121548
1,0.000123994,0.000123378,0.000125078,0.000123761,0.000124122
1,0.000132163,0.000129211,0.000135122,0.00013216,0.000133887
1,0.000125417,0.000123156,0.000126899,0.000125808,0.000125495
1,0.000120634,0.000118624,0.00012207,0.000120922,0.000121292
1,0.000124687,0.000122043,0.000126017,0.000125344,0.00012596
1,0.000126892,0.000122354,0.000129423,0.000127896,0.000122354
1,0.000121894,0.000119893,0.000123472,0.000122105,0.000121754
1,0.000123781,0.000119631,0.000126795,0.000124349,0.00012336
1,0.00012488,0.000123848,0.000126022,0.000124824,0.000125427
1,0.00012737,0.000124798,0.000129182,0.00012775,0.000128201
1,0.000121044,0.000117605,0.000122948,0.000121811,0.000122948
1,0.000122682,0.00012151,0.000123447,0.000122886,0.000123379
1,0.000123154,0.000121161,0.000124105,0.000123675,0.000124066
1,0.000129295,0.000125602,0.000131356,0.00013011,0.000130584
1,0.000121214,0.000118622,0.000122569,0.000121833,0.000121727
1,0.000123683,0.000122516,0.00012483,0.000123692,0.00012337
1,0.000120873,0.000118521,0.000121862,0.000121554,0.000121431
1,0.000125139,0.000123449,0.00012593,0.000125588,0.000125547
1,0.000123306,0.000121417,0.000124418,0.000123694,0.00012405
1,0.000124378,0.000123216,0.000125811,0.000124242,0.000124024
1,0.000125534,0.000124382,0.000126742,0.000125506,0.00012656
1,0.00011982,0.000118689,0.000120932,0.000119829,0.000120932
1,0.000125294,0.000123335,0.000127368,0.000125237,0.000127368
1,0.000120649,0.00011972,0.000121189,0.000120843,0.000120921
1,0.000118054,0.000115278,0.000120169,0.000118385,0.000117853
1,0.000123934,0.000123144,0.000124742,0.000123924,0.000124186
1,0.000130463,0.000129279,0.000132273,0.000130151,0.000132273
1,0.000120544,0.00012018,0.000121171,0.000120413,0.000121171
1,0.00012642,0.000125957,0.000127015,0.000126353,0.000126557
1,0.000120864,0.000119009,0.000122632,0.000120907,0.000122632
1,0.000126861,0.000124799,0.000128579,0.000127034,0.000128579
1,0.000134779,0.000133255,0.000135504,0.000135178,0.000135422
1,0.000121543,0.000120035,0.00012292,0.000121607,0.00012116
1,0.000120442,0.000117621,0.000122669,0.000120738,0.000120547
1,0.000120985,0.000119934,0.000122844,0.000120581,0.000121033
1,0.000121896,0.000121144,0.000123107,0.000121667,0.000121395
1,0.000126978,0.000125369,0.000128412,0.000127066,0.000125369
1,0.00012298,0.000120906,0.000123795,0.00012361,0.000123795
1,0.000119907,0.000118155,0.0001208,0.000120337,0.000120177
1,0.000126039,0.000125052,0.000126952,0.000126076,0.00012682
1,0.000120969,0.000119375,0.000121564,0.000121468,0.000121426
1,0.000126084,0.000123492,0.000127028,0.000126909,0.000127028
1,0.00012483,0.000122841,0.000126219,0.00012513,0.000126219
1,0.000132152,0.000129091,0.000133673,0.000132922,0.000133673
1,0.000128885,0.000128547,0.000129073,0.00012896,0.000129025
1,0.000121742,0.000121083,0.00012288,0.000121502,0.000121424
1,0.000127295,0.000124748,0.000128177,0.000128127,0.000128143
1,0.000134672,0.000133504,0.000137364,0.000133909,0.000133504
