run_id,0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
1,0.002791626,0.002208867,0.004023363,0.002754226,0.002972813
1,0.002537303,0.002027407,0.003184764,0.002518908,0.002690006
1,0.002246392,0.001243001,0.002954546,0.002226991,0.001693221
1,0.002307455,0.001734684,0.002943053,0.002273876,0.002846899
1,0.004118959,0.003973724,0.004541624,0.004093066,0.004337862
1,0.009605695,0.007232115,0.010905884,0.010024592,0.010385221
1,0.011690597,0.009567833,0.013236864,0.012032762,0.010452503
1,0.011706614,0.008677559,0.013048629,0.01193855,0.011926067
1,0.006960794,0.005435982,0.008178511,0.00687309,0.007927568
1,0.009585417,0.008945863,0.010142773,0.009628986,0.009209538
1,0.001409549,0.001013977,0.001968147,0.001372299,0.001955138
1,0.001262865,0.001008497,0.001750683,0.001225779,0.001352477
1,0.001132956,0.000904556,0.001714533,0.001088986,0.001364487
1,0.001443158,0.00092351,0.002321069,0.001441184,0.001383576
1,0.001405663,0.001046331,0.002373628,0.00131249,0.001796778
1,0.001249628,0.001055874,0.001539167,0.001238253,0.001248404
1,0.00137483,0.000977618,0.001814309,0.001349368,0.001608498
1,0.001238172,0.001052461,0.002182383,0.001164506,0.002014731
1,0.001992632,0.001401341,0.002449756,0.001965403,0.002386235
1,0.001490161,0.000853607,0.00261243,0.001452959,0.0023558
1,0.001592681,0.001148876,0.002091631,0.001559999,0.001678573
1,0.001481737,0.001125323,0.002168506,0.001436048,0.002088198
1,0.001829102,0.001115138,0.002885241,0.001788755,0.002499496
1,0.001595828,0.001238403,0.002359457,0.001527323,0.00177931
1,0.002001788,0.001750952,0.002480369,0.001982847,0.002394644
1,0.001466324,0.001009084,0.00219593,0.00138256,0.001451947
1,0.001377252,0.000832735,0.002077665,0.001396696,0.002077665
1,0.001321215,0.000774024,0.001672333,0.001325924,0.001585787
1,0.001670611,0.001008444,0.002712717,0.001585611,0.001568764
1,0.002091595,0.001664556,0.002687498,0.002066421,0.002312629
1,0.001734901,0.001356833,0.002832268,0.00163649,0.001768349
1,0.001034612,0.00066744,0.001359864,0.001051973,0.001088915
1,0.001436567,0.000972159,0.002106958,0.00142532,0.001910228
1,0.001656266,0.000995181,0.002610038,0.001599507,0.001646886
1,0.001781853,0.001355411,0.002143582,0.001751602,0.001684374
